fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
BASE.18\configure,true,1,0,0,1,1
BASE.18\configure.in,true,1,0,0,1,1
BASE.18\COPYRIGHT,true,1,0,0,1,1
BASE.18\doc,true,1,0,0,1,1
BASE.18\doc\lemon.html,true,860,0,0,860,860
BASE.18\Makefile.in,true,1,0,0,1,1
BASE.18\README,true,1,0,0,1,1
BASE.18\src,true,1,0,0,1,1
BASE.18\src\build.c,true,1529,0,0,1529,1529
BASE.18\src\dbbe.c,true,512,0,0,512,512
BASE.18\src\dbbe.h,true,118,0,0,118,118
BASE.18\src\main.c,true,218,0,0,218,218
BASE.18\src\parse.y,true,1,0,0,1,1
BASE.18\src\shell.c,true,464,0,0,464,464
BASE.18\src\sqlite.h,true,117,0,0,117,117
BASE.18\src\sqliteInt.h,true,249,0,0,249,249
BASE.18\src\tclsqlite.c,true,295,0,0,295,295
BASE.18\src\tokenize.c,true,378,0,0,378,378
BASE.18\src\util.c,true,564,0,0,564,564
BASE.18\src\vdbe.c,true,2124,0,0,2124,2124
BASE.18\src\vdbe.h,true,170,0,0,170,170
BASE.18\src\where.c,true,565,0,0,565,565
BASE.18\test,true,1,0,0,1,1
BASE.18\test\all.test,true,1,0,0,1,1
BASE.18\test\copy.test,true,1,0,0,1,1
BASE.18\test\delete.test,true,1,0,0,1,1
BASE.18\test\expr.test,true,1,0,0,1,1
BASE.18\test\index.test,true,1,0,0,1,1
BASE.18\test\insert.test,true,1,0,0,1,1
BASE.18\test\table.test,true,1,0,0,1,1
BASE.18\test\tester.tcl,true,1,0,0,1,1
BASE.18\test\update.test,true,1,0,0,1,1
BASE.18\tool,true,1,0,0,1,1
BASE.18\tool\gdbmdump.c,true,89,0,0,89,89
BASE.18\tool\lemon.c,true,4020,0,0,4020,4020
BASE.18\tool\lempar.c,true,605,0,0,605,605
BASE.18\tool\opcodeDoc.awk,true,1,0,0,1,1
BASE.18\tool\opNames.awk,true,1,0,0,1,1
BASE.18\tool\renumberOps.awk,true,1,0,0,1,1
BASE.18\www,true,1,0,0,1,1
BASE.18\www\c_interface.tcl,true,1,0,0,1,1
BASE.18\www\index.tcl,true,1,0,0,1,1
BASE.18\www\sqlite.tcl,true,1,0,0,1,1
