fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
BASE.36\configure,true,1,0,0,1,1
BASE.36\configure.in,true,1,0,0,1,1
BASE.36\COPYRIGHT,true,1,0,0,1,1
BASE.36\doc,true,1,0,0,1,1
BASE.36\doc\lemon.html,true,860,0,0,860,860
BASE.36\Makefile.in,true,1,0,0,1,1
BASE.36\README,true,1,0,0,1,1
BASE.36\src,true,1,0,0,1,1
BASE.36\src\build.c,true,863,0,0,863,863
BASE.36\src\dbbe.c,true,646,0,0,646,646
BASE.36\src\dbbe.h,true,129,0,0,129,129
BASE.36\src\delete.c,true,132,0,0,132,132
BASE.36\src\expr.c,true,526,0,0,526,526
BASE.36\src\insert.c,true,157,0,0,157,157
BASE.36\src\main.c,true,256,0,0,256,256
BASE.36\src\parse.y,true,1,0,0,1,1
BASE.36\src\select.c,true,299,0,0,299,299
BASE.36\src\shell.c,true,514,0,0,514,514
BASE.36\src\sqlite.h,true,134,0,0,134,134
BASE.36\src\sqliteInt.h,true,270,0,0,270,270
BASE.36\src\tclsqlite.c,true,295,0,0,295,295
BASE.36\src\tokenize.c,true,382,0,0,382,382
BASE.36\src\update.c,true,225,0,0,225,225
BASE.36\src\util.c,true,719,0,0,719,719
BASE.36\src\vdbe.c,true,2248,0,0,2248,2248
BASE.36\src\vdbe.h,true,176,0,0,176,176
BASE.36\src\where.c,true,354,0,0,354,354
BASE.36\test,true,1,0,0,1,1
BASE.36\test\all.test,true,1,0,0,1,1
BASE.36\test\copy.test,true,1,0,0,1,1
BASE.36\test\delete.test,true,1,0,0,1,1
BASE.36\test\expr.test,true,1,0,0,1,1
BASE.36\test\index.test,true,1,0,0,1,1
BASE.36\test\insert.test,true,1,0,0,1,1
BASE.36\test\select1.test,true,1,0,0,1,1
BASE.36\test\table.test,true,1,0,0,1,1
BASE.36\test\tester.tcl,true,1,0,0,1,1
BASE.36\test\update.test,true,1,0,0,1,1
BASE.36\tool,true,1,0,0,1,1
BASE.36\tool\gdbmdump.c,true,89,0,0,89,89
BASE.36\tool\lemon.c,true,4020,0,0,4020,4020
BASE.36\tool\lempar.c,true,605,0,0,605,605
BASE.36\tool\opcodeDoc.awk,true,1,0,0,1,1
BASE.36\tool\opNames.awk,true,1,0,0,1,1
BASE.36\tool\renumberOps.awk,true,1,0,0,1,1
BASE.36\www,true,1,0,0,1,1
BASE.36\www\changes.tcl,true,1,0,0,1,1
BASE.36\www\c_interface.tcl,true,1,0,0,1,1
BASE.36\www\index.tcl,true,1,0,0,1,1
BASE.36\www\sqlite.tcl,true,1,0,0,1,1
