fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
BASE.15\configure,true,1,0,0,1,1
BASE.15\configure.in,true,1,0,0,1,1
BASE.15\COPYRIGHT,true,1,0,0,1,1
BASE.15\doc,true,1,0,0,1,1
BASE.15\doc\lemon.html,true,860,0,0,860,860
BASE.15\Makefile.in,true,1,0,0,1,1
BASE.15\README,true,1,0,0,1,1
BASE.15\src,true,1,0,0,1,1
BASE.15\src\build.c,true,1521,0,0,1521,1521
BASE.15\src\dbbe.c,true,509,0,0,509,509
BASE.15\src\dbbe.h,true,118,0,0,118,118
BASE.15\src\main.c,true,218,0,0,218,218
BASE.15\src\parse.y,true,1,0,0,1,1
BASE.15\src\shell.c,true,386,0,0,386,386
BASE.15\src\sqlite.h,true,117,0,0,117,117
BASE.15\src\sqliteInt.h,true,249,0,0,249,249
BASE.15\src\tclsqlite.c,true,295,0,0,295,295
BASE.15\src\tokenize.c,true,378,0,0,378,378
BASE.15\src\util.c,true,564,0,0,564,564
BASE.15\src\vdbe.c,true,2124,0,0,2124,2124
BASE.15\src\vdbe.h,true,170,0,0,170,170
BASE.15\src\where.c,true,565,0,0,565,565
BASE.15\test,true,1,0,0,1,1
BASE.15\test\all.test,true,1,0,0,1,1
BASE.15\test\delete.test,true,1,0,0,1,1
BASE.15\test\expr.test,true,1,0,0,1,1
BASE.15\test\index.test,true,1,0,0,1,1
BASE.15\test\insert.test,true,1,0,0,1,1
BASE.15\test\table.test,true,1,0,0,1,1
BASE.15\test\tester.tcl,true,1,0,0,1,1
BASE.15\test\update.test,true,1,0,0,1,1
BASE.15\tool,true,1,0,0,1,1
BASE.15\tool\gdbmdump.c,true,89,0,0,89,89
BASE.15\tool\lemon.c,true,4020,0,0,4020,4020
BASE.15\tool\lempar.c,true,605,0,0,605,605
BASE.15\tool\opcodeDoc.awk,true,1,0,0,1,1
BASE.15\tool\opNames.awk,true,1,0,0,1,1
BASE.15\tool\renumberOps.awk,true,1,0,0,1,1
BASE.15\www,true,1,0,0,1,1
BASE.15\www\c_interface.tcl,true,1,0,0,1,1
BASE.15\www\index.tcl,true,1,0,0,1,1
BASE.15\www\sqlite.tcl,true,1,0,0,1,1
