fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
BASE.11\configure,true,1,0,0,1,1
BASE.11\configure.in,true,1,0,0,1,1
BASE.11\COPYRIGHT,true,1,0,0,1,1
BASE.11\doc,true,1,0,0,1,1
BASE.11\doc\lemon.html,true,860,0,0,860,860
BASE.11\Makefile.in,true,1,0,0,1,1
BASE.11\README,true,1,0,0,1,1
BASE.11\src,true,1,0,0,1,1
BASE.11\src\build.c,true,1434,0,0,1434,1434
BASE.11\src\dbbe.c,true,509,0,0,509,509
BASE.11\src\dbbe.h,true,118,0,0,118,118
BASE.11\src\main.c,true,218,0,0,218,218
BASE.11\src\parse.y,true,1,0,0,1,1
BASE.11\src\shell.c,true,386,0,0,386,386
BASE.11\src\sqlite.h,true,117,0,0,117,117
BASE.11\src\sqliteInt.h,true,234,0,0,234,234
BASE.11\src\tclsqlite.c,true,294,0,0,294,294
BASE.11\src\tokenize.c,true,374,0,0,374,374
BASE.11\src\util.c,true,449,0,0,449,449
BASE.11\src\vdbe.c,true,1972,0,0,1972,1972
BASE.11\src\vdbe.h,true,165,0,0,165,165
BASE.11\src\where.c,true,565,0,0,565,565
BASE.11\test,true,1,0,0,1,1
BASE.11\test\all.test,true,1,0,0,1,1
BASE.11\test\delete.test,true,1,0,0,1,1
BASE.11\test\index.test,true,1,0,0,1,1
BASE.11\test\insert.test,true,1,0,0,1,1
BASE.11\test\table.test,true,1,0,0,1,1
BASE.11\test\tester.tcl,true,1,0,0,1,1
BASE.11\tool,true,1,0,0,1,1
BASE.11\tool\gdbmdump.c,true,89,0,0,89,89
BASE.11\tool\lemon.c,true,4020,0,0,4020,4020
BASE.11\tool\lempar.c,true,605,0,0,605,605
BASE.11\tool\opcodeDoc.awk,true,1,0,0,1,1
BASE.11\tool\opNames.awk,true,1,0,0,1,1
BASE.11\tool\renumberOps.awk,true,1,0,0,1,1
BASE.11\www,true,1,0,0,1,1
BASE.11\www\c_interface.tcl,true,1,0,0,1,1
BASE.11\www\index.tcl,true,1,0,0,1,1
BASE.11\www\sqlite.tcl,true,1,0,0,1,1
