fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
BASE.32\configure,true,1,0,0,1,1
BASE.32\configure.in,true,1,0,0,1,1
BASE.32\COPYRIGHT,true,1,0,0,1,1
BASE.32\doc,true,1,0,0,1,1
BASE.32\doc\lemon.html,true,860,0,0,860,860
BASE.32\Makefile.in,true,1,0,0,1,1
BASE.32\README,true,1,0,0,1,1
BASE.32\src,true,1,0,0,1,1
BASE.32\src\build.c,true,863,0,0,863,863
BASE.32\src\dbbe.c,true,588,0,0,588,588
BASE.32\src\dbbe.h,true,129,0,0,129,129
BASE.32\src\delete.c,true,131,0,0,131,131
BASE.32\src\expr.c,true,526,0,0,526,526
BASE.32\src\insert.c,true,157,0,0,157,157
BASE.32\src\main.c,true,220,0,0,220,220
BASE.32\src\parse.y,true,1,0,0,1,1
BASE.32\src\select.c,true,299,0,0,299,299
BASE.32\src\shell.c,true,514,0,0,514,514
BASE.32\src\sqlite.h,true,117,0,0,117,117
BASE.32\src\sqliteInt.h,true,269,0,0,269,269
BASE.32\src\tclsqlite.c,true,295,0,0,295,295
BASE.32\src\tokenize.c,true,382,0,0,382,382
BASE.32\src\update.c,true,224,0,0,224,224
BASE.32\src\util.c,true,719,0,0,719,719
BASE.32\src\vdbe.c,true,2243,0,0,2243,2243
BASE.32\src\vdbe.h,true,176,0,0,176,176
BASE.32\src\where.c,true,354,0,0,354,354
BASE.32\test,true,1,0,0,1,1
BASE.32\test\all.test,true,1,0,0,1,1
BASE.32\test\copy.test,true,1,0,0,1,1
BASE.32\test\delete.test,true,1,0,0,1,1
BASE.32\test\expr.test,true,1,0,0,1,1
BASE.32\test\index.test,true,1,0,0,1,1
BASE.32\test\insert.test,true,1,0,0,1,1
BASE.32\test\select1.test,true,1,0,0,1,1
BASE.32\test\table.test,true,1,0,0,1,1
BASE.32\test\tester.tcl,true,1,0,0,1,1
BASE.32\test\update.test,true,1,0,0,1,1
BASE.32\tool,true,1,0,0,1,1
BASE.32\tool\gdbmdump.c,true,89,0,0,89,89
BASE.32\tool\lemon.c,true,4020,0,0,4020,4020
BASE.32\tool\lempar.c,true,605,0,0,605,605
BASE.32\tool\opcodeDoc.awk,true,1,0,0,1,1
BASE.32\tool\opNames.awk,true,1,0,0,1,1
BASE.32\tool\renumberOps.awk,true,1,0,0,1,1
BASE.32\www,true,1,0,0,1,1
BASE.32\www\changes.tcl,true,1,0,0,1,1
BASE.32\www\c_interface.tcl,true,1,0,0,1,1
BASE.32\www\index.tcl,true,1,0,0,1,1
BASE.32\www\sqlite.tcl,true,1,0,0,1,1
