fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
BASE.34\configure,true,1,0,0,1,1
BASE.34\configure.in,true,1,0,0,1,1
BASE.34\COPYRIGHT,true,1,0,0,1,1
BASE.34\doc,true,1,0,0,1,1
BASE.34\doc\lemon.html,true,860,0,0,860,860
BASE.34\Makefile.in,true,1,0,0,1,1
BASE.34\README,true,1,0,0,1,1
BASE.34\src,true,1,0,0,1,1
BASE.34\src\build.c,true,863,0,0,863,863
BASE.34\src\dbbe.c,true,640,0,0,640,640
BASE.34\src\dbbe.h,true,129,0,0,129,129
BASE.34\src\delete.c,true,132,0,0,132,132
BASE.34\src\expr.c,true,526,0,0,526,526
BASE.34\src\insert.c,true,157,0,0,157,157
BASE.34\src\main.c,true,256,0,0,256,256
BASE.34\src\parse.y,true,1,0,0,1,1
BASE.34\src\select.c,true,299,0,0,299,299
BASE.34\src\shell.c,true,514,0,0,514,514
BASE.34\src\sqlite.h,true,131,0,0,131,131
BASE.34\src\sqliteInt.h,true,277,0,0,277,277
BASE.34\src\tclsqlite.c,true,295,0,0,295,295
BASE.34\src\tokenize.c,true,382,0,0,382,382
BASE.34\src\update.c,true,225,0,0,225,225
BASE.34\src\util.c,true,719,0,0,719,719
BASE.34\src\vdbe.c,true,2227,0,0,2227,2227
BASE.34\src\vdbe.h,true,176,0,0,176,176
BASE.34\src\where.c,true,354,0,0,354,354
BASE.34\test,true,1,0,0,1,1
BASE.34\test\all.test,true,1,0,0,1,1
BASE.34\test\copy.test,true,1,0,0,1,1
BASE.34\test\delete.test,true,1,0,0,1,1
BASE.34\test\expr.test,true,1,0,0,1,1
BASE.34\test\index.test,true,1,0,0,1,1
BASE.34\test\insert.test,true,1,0,0,1,1
BASE.34\test\select1.test,true,1,0,0,1,1
BASE.34\test\table.test,true,1,0,0,1,1
BASE.34\test\tester.tcl,true,1,0,0,1,1
BASE.34\test\update.test,true,1,0,0,1,1
BASE.34\tool,true,1,0,0,1,1
BASE.34\tool\gdbmdump.c,true,89,0,0,89,89
BASE.34\tool\lemon.c,true,4020,0,0,4020,4020
BASE.34\tool\lempar.c,true,605,0,0,605,605
BASE.34\tool\opcodeDoc.awk,true,1,0,0,1,1
BASE.34\tool\opNames.awk,true,1,0,0,1,1
BASE.34\tool\renumberOps.awk,true,1,0,0,1,1
BASE.34\www,true,1,0,0,1,1
BASE.34\www\changes.tcl,true,1,0,0,1,1
BASE.34\www\c_interface.tcl,true,1,0,0,1,1
BASE.34\www\index.tcl,true,1,0,0,1,1
BASE.34\www\sqlite.tcl,true,1,0,0,1,1
