fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
BASE.14\configure,true,1,0,0,1,1
BASE.14\configure.in,true,1,0,0,1,1
BASE.14\COPYRIGHT,true,1,0,0,1,1
BASE.14\doc,true,1,0,0,1,1
BASE.14\doc\lemon.html,true,860,0,0,860,860
BASE.14\Makefile.in,true,1,0,0,1,1
BASE.14\README,true,1,0,0,1,1
BASE.14\src,true,1,0,0,1,1
BASE.14\src\build.c,true,1434,0,0,1434,1434
BASE.14\src\dbbe.c,true,509,0,0,509,509
BASE.14\src\dbbe.h,true,118,0,0,118,118
BASE.14\src\main.c,true,218,0,0,218,218
BASE.14\src\parse.y,true,1,0,0,1,1
BASE.14\src\shell.c,true,386,0,0,386,386
BASE.14\src\sqlite.h,true,117,0,0,117,117
BASE.14\src\sqliteInt.h,true,247,0,0,247,247
BASE.14\src\tclsqlite.c,true,295,0,0,295,295
BASE.14\src\tokenize.c,true,375,0,0,375,375
BASE.14\src\util.c,true,538,0,0,538,538
BASE.14\src\vdbe.c,true,1972,0,0,1972,1972
BASE.14\src\vdbe.h,true,165,0,0,165,165
BASE.14\src\where.c,true,565,0,0,565,565
BASE.14\test,true,1,0,0,1,1
BASE.14\test\all.test,true,1,0,0,1,1
BASE.14\test\delete.test,true,1,0,0,1,1
BASE.14\test\expr.test,true,1,0,0,1,1
BASE.14\test\index.test,true,1,0,0,1,1
BASE.14\test\insert.test,true,1,0,0,1,1
BASE.14\test\table.test,true,1,0,0,1,1
BASE.14\test\tester.tcl,true,1,0,0,1,1
BASE.14\test\update.test,true,1,0,0,1,1
BASE.14\tool,true,1,0,0,1,1
BASE.14\tool\gdbmdump.c,true,89,0,0,89,89
BASE.14\tool\lemon.c,true,4020,0,0,4020,4020
BASE.14\tool\lempar.c,true,605,0,0,605,605
BASE.14\tool\opcodeDoc.awk,true,1,0,0,1,1
BASE.14\tool\opNames.awk,true,1,0,0,1,1
BASE.14\tool\renumberOps.awk,true,1,0,0,1,1
BASE.14\www,true,1,0,0,1,1
BASE.14\www\c_interface.tcl,true,1,0,0,1,1
BASE.14\www\index.tcl,true,1,0,0,1,1
BASE.14\www\sqlite.tcl,true,1,0,0,1,1
