fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
BASE.49\configure,true,1,0,0,1,1
BASE.49\configure.in,true,1,0,0,1,1
BASE.49\COPYRIGHT,true,1,0,0,1,1
BASE.49\doc,true,1,0,0,1,1
BASE.49\doc\lemon.html,true,860,0,0,860,860
BASE.49\Makefile.in,true,1,0,0,1,1
BASE.49\README,true,1,0,0,1,1
BASE.49\src,true,1,0,0,1,1
BASE.49\src\build.c,true,893,0,0,893,893
BASE.49\src\dbbe.c,false,688,0,3,691,688
BASE.49\src\dbbe.h,true,129,0,0,129,129
BASE.49\src\delete.c,true,132,0,0,132,132
BASE.49\src\expr.c,true,525,0,0,525,525
BASE.49\src\insert.c,true,163,0,0,163,163
BASE.49\src\main.c,true,273,0,0,273,273
BASE.49\src\parse.y,true,1,0,0,1,1
BASE.49\src\select.c,true,299,0,0,299,299
BASE.49\src\shell.c,true,513,0,0,513,513
BASE.49\src\sqlite.h,true,134,0,0,134,134
BASE.49\src\sqliteInt.h,true,284,0,0,284,284
BASE.49\src\tclsqlite.c,true,295,0,0,295,295
BASE.49\src\tokenize.c,true,382,0,0,382,382
BASE.49\src\update.c,true,225,0,0,225,225
BASE.49\src\util.c,true,717,0,0,717,717
BASE.49\src\vdbe.c,true,2252,0,0,2252,2252
BASE.49\src\vdbe.h,true,176,0,0,176,176
BASE.49\src\where.c,true,354,0,0,354,354
BASE.49\test,true,1,0,0,1,1
BASE.49\test\all.test,true,1,0,0,1,1
BASE.49\test\copy.test,true,1,0,0,1,1
BASE.49\test\delete.test,true,1,0,0,1,1
BASE.49\test\expr.test,true,1,0,0,1,1
BASE.49\test\index.test,true,1,0,0,1,1
BASE.49\test\insert.test,true,1,0,0,1,1
BASE.49\test\select1.test,true,1,0,0,1,1
BASE.49\test\select2.test,true,1,0,0,1,1
BASE.49\test\table.test,true,1,0,0,1,1
BASE.49\test\tester.tcl,true,1,0,0,1,1
BASE.49\test\update.test,true,1,0,0,1,1
BASE.49\test\vacuum.test,true,1,0,0,1,1
BASE.49\tool,true,1,0,0,1,1
BASE.49\tool\gdbmdump.c,true,89,0,0,89,89
BASE.49\tool\lemon.c,true,4021,0,0,4021,4021
BASE.49\tool\lempar.c,true,605,0,0,605,605
BASE.49\tool\opcodeDoc.awk,true,1,0,0,1,1
BASE.49\tool\opNames.awk,true,1,0,0,1,1
BASE.49\tool\renumberOps.awk,true,1,0,0,1,1
BASE.49\www,true,1,0,0,1,1
BASE.49\www\changes.tcl,true,1,0,0,1,1
BASE.49\www\c_interface.tcl,true,1,0,0,1,1
BASE.49\www\index.tcl,true,1,0,0,1,1
BASE.49\www\sqlite.tcl,true,1,0,0,1,1
