fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
BASE.21\configure,true,1,0,0,1,1
BASE.21\configure.in,true,1,0,0,1,1
BASE.21\COPYRIGHT,true,1,0,0,1,1
BASE.21\doc,true,1,0,0,1,1
BASE.21\doc\lemon.html,true,860,0,0,860,860
BASE.21\Makefile.in,true,1,0,0,1,1
BASE.21\README,true,1,0,0,1,1
BASE.21\src,true,1,0,0,1,1
BASE.21\src\build.c,true,863,0,0,863,863
BASE.21\src\dbbe.c,true,528,0,0,528,528
BASE.21\src\dbbe.h,true,121,0,0,121,121
BASE.21\src\delete.c,true,131,0,0,131,131
BASE.21\src\expr.c,true,526,0,0,526,526
BASE.21\src\insert.c,true,157,0,0,157,157
BASE.21\src\main.c,true,218,0,0,218,218
BASE.21\src\parse.y,true,1,0,0,1,1
BASE.21\src\select.c,true,270,0,0,270,270
BASE.21\src\shell.c,true,464,0,0,464,464
BASE.21\src\sqlite.h,true,117,0,0,117,117
BASE.21\src\sqliteInt.h,true,266,0,0,266,266
BASE.21\src\tclsqlite.c,true,295,0,0,295,295
BASE.21\src\tokenize.c,true,381,0,0,381,381
BASE.21\src\update.c,true,224,0,0,224,224
BASE.21\src\util.c,true,699,0,0,699,699
BASE.21\src\vdbe.c,true,2206,0,0,2206,2206
BASE.21\src\vdbe.h,true,175,0,0,175,175
BASE.21\src\where.c,true,354,0,0,354,354
BASE.21\test,true,1,0,0,1,1
BASE.21\test\all.test,true,1,0,0,1,1
BASE.21\test\copy.test,true,1,0,0,1,1
BASE.21\test\delete.test,true,1,0,0,1,1
BASE.21\test\expr.test,true,1,0,0,1,1
BASE.21\test\index.test,true,1,0,0,1,1
BASE.21\test\insert.test,true,1,0,0,1,1
BASE.21\test\table.test,true,1,0,0,1,1
BASE.21\test\tester.tcl,true,1,0,0,1,1
BASE.21\test\update.test,true,1,0,0,1,1
BASE.21\tool,true,1,0,0,1,1
BASE.21\tool\gdbmdump.c,true,89,0,0,89,89
BASE.21\tool\lemon.c,true,4020,0,0,4020,4020
BASE.21\tool\lempar.c,true,605,0,0,605,605
BASE.21\tool\opcodeDoc.awk,true,1,0,0,1,1
BASE.21\tool\opNames.awk,true,1,0,0,1,1
BASE.21\tool\renumberOps.awk,true,1,0,0,1,1
BASE.21\www,true,1,0,0,1,1
BASE.21\www\changes.tcl,true,1,0,0,1,1
BASE.21\www\c_interface.tcl,true,1,0,0,1,1
BASE.21\www\index.tcl,true,1,0,0,1,1
BASE.21\www\sqlite.tcl,true,1,0,0,1,1
