fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
BASE.23\configure,true,1,0,0,1,1
BASE.23\configure.in,true,1,0,0,1,1
BASE.23\COPYRIGHT,true,1,0,0,1,1
BASE.23\doc,true,1,0,0,1,1
BASE.23\doc\lemon.html,true,860,0,0,860,860
BASE.23\Makefile.in,true,1,0,0,1,1
BASE.23\README,true,1,0,0,1,1
BASE.23\src,true,1,0,0,1,1
BASE.23\src\build.c,true,863,0,0,863,863
BASE.23\src\dbbe.c,true,528,0,0,528,528
BASE.23\src\dbbe.h,true,121,0,0,121,121
BASE.23\src\delete.c,true,131,0,0,131,131
BASE.23\src\expr.c,true,526,0,0,526,526
BASE.23\src\insert.c,true,157,0,0,157,157
BASE.23\src\main.c,true,218,0,0,218,218
BASE.23\src\parse.y,true,1,0,0,1,1
BASE.23\src\select.c,true,270,0,0,270,270
BASE.23\src\shell.c,true,464,0,0,464,464
BASE.23\src\sqlite.h,true,117,0,0,117,117
BASE.23\src\sqliteInt.h,true,266,0,0,266,266
BASE.23\src\tclsqlite.c,true,295,0,0,295,295
BASE.23\src\tokenize.c,true,381,0,0,381,381
BASE.23\src\update.c,true,224,0,0,224,224
BASE.23\src\util.c,true,699,0,0,699,699
BASE.23\src\vdbe.c,true,2206,0,0,2206,2206
BASE.23\src\vdbe.h,true,175,0,0,175,175
BASE.23\src\where.c,true,354,0,0,354,354
BASE.23\test,true,1,0,0,1,1
BASE.23\test\all.test,true,1,0,0,1,1
BASE.23\test\copy.test,true,1,0,0,1,1
BASE.23\test\delete.test,true,1,0,0,1,1
BASE.23\test\expr.test,true,1,0,0,1,1
BASE.23\test\index.test,true,1,0,0,1,1
BASE.23\test\insert.test,true,1,0,0,1,1
BASE.23\test\table.test,true,1,0,0,1,1
BASE.23\test\tester.tcl,true,1,0,0,1,1
BASE.23\test\update.test,true,1,0,0,1,1
BASE.23\tool,true,1,0,0,1,1
BASE.23\tool\gdbmdump.c,true,89,0,0,89,89
BASE.23\tool\lemon.c,true,4020,0,0,4020,4020
BASE.23\tool\lempar.c,true,605,0,0,605,605
BASE.23\tool\opcodeDoc.awk,true,1,0,0,1,1
BASE.23\tool\opNames.awk,true,1,0,0,1,1
BASE.23\tool\renumberOps.awk,true,1,0,0,1,1
BASE.23\www,true,1,0,0,1,1
BASE.23\www\changes.tcl,true,1,0,0,1,1
BASE.23\www\c_interface.tcl,true,1,0,0,1,1
BASE.23\www\index.tcl,true,1,0,0,1,1
BASE.23\www\sqlite.tcl,true,1,0,0,1,1
