fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
BASE.20\configure,true,1,0,0,1,1
BASE.20\configure.in,true,1,0,0,1,1
BASE.20\COPYRIGHT,true,1,0,0,1,1
BASE.20\doc,true,1,0,0,1,1
BASE.20\doc\lemon.html,true,860,0,0,860,860
BASE.20\Makefile.in,true,1,0,0,1,1
BASE.20\README,true,1,0,0,1,1
BASE.20\src,true,1,0,0,1,1
BASE.20\src\build.c,true,1572,0,0,1572,1572
BASE.20\src\dbbe.c,true,528,0,0,528,528
BASE.20\src\dbbe.h,true,121,0,0,121,121
BASE.20\src\main.c,true,218,0,0,218,218
BASE.20\src\parse.y,true,1,0,0,1,1
BASE.20\src\shell.c,true,464,0,0,464,464
BASE.20\src\sqlite.h,true,117,0,0,117,117
BASE.20\src\sqliteInt.h,true,252,0,0,252,252
BASE.20\src\tclsqlite.c,true,295,0,0,295,295
BASE.20\src\tokenize.c,true,381,0,0,381,381
BASE.20\src\util.c,true,699,0,0,699,699
BASE.20\src\vdbe.c,true,2195,0,0,2195,2195
BASE.20\src\vdbe.h,true,175,0,0,175,175
BASE.20\src\where.c,true,591,0,0,591,591
BASE.20\test,true,1,0,0,1,1
BASE.20\test\all.test,true,1,0,0,1,1
BASE.20\test\copy.test,true,1,0,0,1,1
BASE.20\test\delete.test,true,1,0,0,1,1
BASE.20\test\expr.test,true,1,0,0,1,1
BASE.20\test\index.test,true,1,0,0,1,1
BASE.20\test\insert.test,true,1,0,0,1,1
BASE.20\test\table.test,true,1,0,0,1,1
BASE.20\test\tester.tcl,true,1,0,0,1,1
BASE.20\test\update.test,true,1,0,0,1,1
BASE.20\tool,true,1,0,0,1,1
BASE.20\tool\gdbmdump.c,true,89,0,0,89,89
BASE.20\tool\lemon.c,true,4020,0,0,4020,4020
BASE.20\tool\lempar.c,true,605,0,0,605,605
BASE.20\tool\opcodeDoc.awk,true,1,0,0,1,1
BASE.20\tool\opNames.awk,true,1,0,0,1,1
BASE.20\tool\renumberOps.awk,true,1,0,0,1,1
BASE.20\www,true,1,0,0,1,1
BASE.20\www\changes.tcl,true,1,0,0,1,1
BASE.20\www\c_interface.tcl,true,1,0,0,1,1
BASE.20\www\index.tcl,true,1,0,0,1,1
BASE.20\www\sqlite.tcl,true,1,0,0,1,1
